,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
1720,AAPL260618P00180000,2025-02-07 20:48:25+00:00,180.0,7.02,0.0,0.0,0.0,0.0,4.0,0.0,0.0312596875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1721,AAPL260618P00185000,2025-02-07 14:46:24+00:00,185.0,6.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0312596875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1722,AAPL260618P00190000,2025-02-04 18:51:28+00:00,190.0,8.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0312596875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1723,AAPL260618P00195000,2025-02-04 16:17:47+00:00,195.0,9.45,0.0,0.0,0.0,0.0,9.0,0.0,0.0312596875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1724,AAPL260618P00200000,2025-02-06 19:04:25+00:00,200.0,10.18,0.0,0.0,0.0,0.0,4.0,0.0,0.0312596875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1725,AAPL260618P00205000,2025-02-04 20:58:59+00:00,205.0,11.3,0.0,0.0,0.0,0.0,580.0,0.0,0.015634843750000002,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1726,AAPL260618P00210000,2025-02-06 19:17:02+00:00,210.0,12.74,0.0,0.0,0.0,0.0,6.0,0.0,0.015634843750000002,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1727,AAPL260618P00215000,2025-02-07 20:44:33+00:00,215.0,16.2,0.0,0.0,0.0,0.0,17.0,0.0,0.015634843750000002,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1728,AAPL260618P00220000,2025-02-07 17:45:47+00:00,220.0,17.55,0.0,0.0,0.0,0.0,4.0,0.0,0.007822421875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1729,AAPL260618P00225000,2025-02-07 17:59:22+00:00,225.0,19.57,0.0,0.0,0.0,0.0,5.0,0.0,0.00196310546875,False,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1730,AAPL260618P00230000,2025-02-07 16:24:46+00:00,230.0,21.43,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1731,AAPL260618P00235000,2025-02-06 20:09:40+00:00,235.0,22.53,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1732,AAPL260618P00240000,2025-02-05 16:09:28+00:00,240.0,25.85,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1733,AAPL260618P00245000,2025-02-06 17:25:45+00:00,245.0,27.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1734,AAPL260618P00250000,2025-02-05 16:54:20+00:00,250.0,31.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1735,AAPL260618P00255000,2025-02-03 19:48:00+00:00,255.0,35.15,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
